User 2276

Movies Recommended:
 1: Bewegte Mann, Der (1994)
 2: Sanjuro (1962)
 3: For All Mankind (1989)
 4: Chushingura (1962)
 5: Sixth Sense, The (1999)
 6: Man of the Century (1999)
 7: Godfather, The (1972)
 8: Leather Jacket Love Story (1997)
 9: Raiders of the Lost Ark (1981)
10: Sting, The (1973)
11: One Flew Over the Cuckoo's Nest (1975)
12: Great Escape, The (1963)
13: Smashing Time (1967)
14: It's a Wonderful Life (1946)
15: Bridge on the River Kwai, The (1957)
16: Rear Window (1954)
17: Forrest Gump (1994)
18: 12 Angry Men (1957)
19: Across the Sea of Time (1995)
20: In the Heat of the Night (1967)
21: Killer, The (Die xue shuang xiong) (1989)
22: Bells, The (1926)
23: Patton (1970)
24: Casablanca (1942)
25: Inherit the Wind (1960)
26: Godfather: Part II, The (1974)
27: To Kill a Mockingbird (1962)
28: Firelight (1997)
29: Dj Vu (1997)
30: Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)
31: Fugitive, The (1993)
32: Jean de Florette (1986)
33: Green Mile, The (1999)
34: Circus, The (1928)
35: Jupiter's Wife (1994)
36: Lawrence of Arabia (1962)
37: American Beauty (1999)
38: Star Wars: Episode IV - A New Hope (1977)
39: Before the Rain (Pred dozhdot) (1994)
40: Remember the Titans (2000)
41: All Quiet on the Western Front (1930)
42: Butch Cassidy and the Sundance Kid (1969)
43: Shall We Dance? (Shall We Dansu?) (1996)
44: Matrix, The (1999)
45: Lamerica (1994)
46: North by Northwest (1959)
47: Cinema Paradiso (1988)
48: Glory (1989)
49: Toy Story 2 (1999)
50: Killing Fields, The (1984)


Local influence:
+----------+-----------------+
| Movie ID | Local Influence |
+----------+-----------------+
|    73    |  0.112724637185 |
|   1721   |  0.109898510465 |
|   2917   |  0.106977852722 |
|   373    |  0.103692119754 |
|   1633   |  0.103584342182 |
|    62    |  0.103227877249 |
|   3753   |  0.102418576096 |
|   296    |  0.101298507929 |
|   2000   |  0.100538199783 |
|   571    | 0.0996803018061 |
|   2501   | 0.0991506532705 |
|   2454   | 0.0974014109332 |
|   2130   | 0.0970804029898 |
|   999    | 0.0968819697671 |
|   508    | 0.0962843759644 |
|   110    | 0.0961458383401 |
|   1050   | 0.0960824269614 |
|   3252   | 0.0950475301631 |
|   2586   | 0.0949218748235 |
|   2682   | 0.0945234805264 |
|   1213   | 0.0945109109858 |
|   527    | 0.0941271123605 |
|   1704   | 0.0940810367761 |
|   1357   | 0.0934451213271 |
|   3006   | 0.0930251745987 |
|   3897   | 0.0928581602851 |
|   555    | 0.0928310237493 |
|   590    | 0.0925264581479 |
|   2985   | 0.0924643224971 |
|   2989   | 0.0921485711413 |
|   1784   | 0.0918720201028 |
|    25    | 0.0918445619921 |
|   2324   | 0.0916526101846 |
|   592    | 0.0916331965785 |
|   2764   | 0.0915512100845 |
|   2268   |  0.091534252534 |
|   1912   | 0.0913360556369 |
|   1747   | 0.0912571835032 |
|   1287   | 0.0911478168246 |
|   3926   | 0.0907213966192 |
|   3927   | 0.0906435703192 |
|   3763   | 0.0905436002686 |
|   150    | 0.0903947346708 |
|   318    | 0.0902467335021 |
|   1639   | 0.0902370653441 |
|   3250   | 0.0902045696199 |
|   388    | 0.0900790118856 |
|   2391   | 0.0897102992103 |
|   1179   | 0.0894408906288 |
|   2329   | 0.0893335290711 |
|    22    | 0.0892336483774 |
